TableName,RowLabel,ColumnName,Value,RunID,Timestamp,ProjectID
Result - set3-1 | Early Stopping Boundaries,15,Action,Early Stopping for Low Efficacy,20260922T155011_0c2931,,
Result - set3-1 | Early Stopping Boundaries,15,Boundary,CR ≤ 0 and CR/PR ≤ 0,20260922T155011_0c2931,,
Result - set3-1 | Early Stopping Boundaries,15,Sample Size,15,20260922T155011_0c2931,,
Result - set3-1 | Early Stopping Boundaries,25,Action,Early Stopping for Low Efficacy,20260922T155011_0c2931,,
Result - set3-1 | Early Stopping Boundaries,25,Boundary,CR ≤ 0 and CR/PR ≤ 1,20260922T155011_0c2931,,
Result - set3-1 | Early Stopping Boundaries,25,Sample Size,25,20260922T155011_0c2931,,
Result - set3-1 | Early Stopping Boundaries,35,Action,Early Stopping for Low Efficacy,20260922T155011_0c2931,,
Result - set3-1 | Early Stopping Boundaries,35,Boundary,CR ≤ 1 and CR/PR ≤ 3,20260922T155011_0c2931,,
Result - set3-1 | Early Stopping Boundaries,35,Sample Size,35,20260922T155011_0c2931,,
Result - set3-1 | Early Stopping Boundaries,45,Action,Early Stopping for Low Efficacy,20260922T155011_0c2931,,
Result - set3-1 | Early Stopping Boundaries,45,Boundary,CR ≤ 1 and CR/PR ≤ 4,20260922T155011_0c2931,,
Result - set3-1 | Early Stopping Boundaries,45,Sample Size,45,20260922T155011_0c2931,,
Result - set3-1 | Early Stopping Boundaries,55,Action,Early Stopping for Low Efficacy,20260922T155011_0c2931,,
Result - set3-1 | Early Stopping Boundaries,55,Boundary,CR ≤ 2 and CR/PR ≤ 5,20260922T155011_0c2931,,
Result - set3-1 | Early Stopping Boundaries,55,Sample Size,55,20260922T155011_0c2931,,
Result - set3-1 | Early Stopping Boundaries,65,Action,Early Stopping for Low Efficacy,20260922T155011_0c2931,,
Result - set3-1 | Early Stopping Boundaries,65,Boundary,CR ≤ 2 and CR/PR ≤ 7,20260922T155011_0c2931,,
Result - set3-1 | Early Stopping Boundaries,65,Sample Size,65,20260922T155011_0c2931,,
Result - set3-1 | Early Stopping Boundaries,75,Action,Early Stopping for Low Efficacy,20260922T155011_0c2931,,
Result - set3-1 | Early Stopping Boundaries,75,Boundary,CR ≤ 3 and CR/PR ≤ 8,20260922T155011_0c2931,,
Result - set3-1 | Early Stopping Boundaries,75,Sample Size,75,20260922T155011_0c2931,,
Result - set3-1 | Frequency of Early Stopping,15,Cumulative Early Stop,0.229,20260922T155011_0c2931,,
Result - set3-1 | Frequency of Early Stopping,15,Early Stop,0.229,20260922T155011_0c2931,,
Result - set3-1 | Frequency of Early Stopping,15,Sample Size,15,20260922T155011_0c2931,,
Result - set3-1 | Frequency of Early Stopping,25,Cumulative Early Stop,0.311,20260922T155011_0c2931,,
Result - set3-1 | Frequency of Early Stopping,25,Early Stop,0.082,20260922T155011_0c2931,,
Result - set3-1 | Frequency of Early Stopping,25,Sample Size,25,20260922T155011_0c2931,,
Result - set3-1 | Frequency of Early Stopping,35,Cumulative Early Stop,0.522,20260922T155011_0c2931,,
