TableName,RowLabel,ColumnName,Value,RunID,ProjectID
Accrual and Study Duration,Accrual Duration (Year),Parameter,Accrual Duration (Year),20260722T175849_7c6c38,
Accrual and Study Duration,Accrual Duration (Year),Value,14.286,20260722T175849_7c6c38,
Accrual and Study Duration,Study Duration (Year),Parameter,Study Duration (Year),20260722T175849_7c6c38,
Accrual and Study Duration,Study Duration (Year),Value,17.936,20260722T175849_7c6c38,
Critical Points,Critical Point,Parameter,Critical Point,20260722T175849_7c6c38,
Critical Points,Critical Point,Value,1.518,20260722T175849_7c6c38,
Design Summary #1,Hypothesis,Parameter,Hypothesis,20260722T175849_7c6c38,
Design Summary #1,Hypothesis,Value,Superiority,20260722T175849_7c6c38,
Design Summary #1,Power,Parameter,Power,20260722T175849_7c6c38,
Design Summary #1,Power,Value,0.942,20260722T175849_7c6c38,
Design Summary #1,Sample Size (n),Parameter,Sample Size (n),20260722T175849_7c6c38,
Design Summary #1,Sample Size (n),Value,200,20260722T175849_7c6c38,
Design Summary #1,Test Name,Parameter,Test Name,20260722T175849_7c6c38,
Design Summary #1,Test Name,Value,Ratio of Means (Parallel Design),20260722T175849_7c6c38,
Design Summary #1,Test Type,Parameter,Test Type,20260722T175849_7c6c38,
Design Summary #1,Test Type,Value,1-Sided,20260722T175849_7c6c38,
Design Summary #1,Type 1 Error (α),Parameter,Type 1 Error (α),20260722T175849_7c6c38,
Design Summary #1,Type 1 Error (α),Value,0.0645,20260722T175849_7c6c38,
Design Summary #2,Allocation Ratio (nt/nc),Parameter,Allocation Ratio (nt/nc),20260722T175849_7c6c38,
Design Summary #2,Allocation Ratio (nt/nc),Value,1.325,20260722T175849_7c6c38,
Design Summary #2,Coefficient of Variation of Data,Parameter,Coefficient of Variation of Data,20260722T175849_7c6c38,
Design Summary #2,Coefficient of Variation of Data,Value,0.652,20260722T175849_7c6c38,
Design Summary #2,Follow-up Time (Year),Parameter,Follow-up Time (Year),20260722T175849_7c6c38,
Design Summary #2,Follow-up Time (Year),Value,3.65,20260722T175849_7c6c38,
Design Summary #2,Input Method,Parameter,Input Method,20260722T175849_7c6c38,
Design Summary #2,Input Method,Value,Ratio of Means,20260722T175849_7c6c38,
Design Summary #2,Probability of Dropout,Parameter,Probability of Dropout,20260722T175849_7c6c38,
Design Summary #2,Probability of Dropout,Value,0.123,20260722T175849_7c6c38,
Design Summary #2,Test Statistic,Parameter,Test Statistic,20260722T175849_7c6c38,
Design Summary #2,Test Statistic,Value,Z,20260722T175849_7c6c38,
Design Summary #2,Under H0,Parameter,Under H0,20260722T175849_7c6c38,
Design Summary #2,Under H0,Value,1,20260722T175849_7c6c38,
Design Summary #2,Under H1,Parameter,Under H1,20260722T175849_7c6c38,
Design Summary #2,Under H1,Value,1.324,20260722T175849_7c6c38,
Design Summary #2,ρ = μt / μc,Parameter,ρ = μt / μc,20260722T175849_7c6c38,
Design Summary #2,ρ = μt / μc,Value,,20260722T175849_7c6c38,
Design Summary #3,Enrollment Rate (per Year),Parameter,Enrollment Rate (per Year),20260722T175849_7c6c38,
Design Summary #3,Enrollment Rate (per Year),Value,14,20260722T175849_7c6c38,
Plan #1,Control Arm,Parameter,Control Arm,20260722T175849_7c6c38,
Plan #1,Control Arm,Value,Crt Arm,20260722T175849_7c6c38,
Plan #1,Phase,Parameter,Phase,20260722T175849_7c6c38,
Plan #1,Phase,Value,3,20260722T175849_7c6c38,
Plan #1,Study Objective,Parameter,Study Objective,20260722T175849_7c6c38,
Plan #1,Study Objective,Value,Two Arm Confirmatory,20260722T175849_7c6c38,
Plan #1,Target Population,Parameter,Target Population,20260722T175849_7c6c38,
Plan #1,Target Population,Value,Adult,20260722T175849_7c6c38,
Plan #1,Treatment Arm,Parameter,Treatment Arm,20260722T175849_7c6c38,
Plan #1,Treatment Arm,Value,EXP,20260722T175849_7c6c38,
Plan #2,Endpoint Name,Parameter,Endpoint Name,20260722T175849_7c6c38,
Plan #2,Endpoint Name,Value,EP1,20260722T175849_7c6c38,
Plan #2,Endpoint Type,Parameter,Endpoint Type,20260722T175849_7c6c38,
Plan #2,Endpoint Type,Value,Continuous,20260722T175849_7c6c38,
Plan #2,Priority,Parameter,Priority,20260722T175849_7c6c38,
