TableName,RowLabel,ColumnName,Value,RunID,ProjectID
Enrollment #1,1,Enrollment Rate (per Year),15,20260724T094823_a2f55d,
Enrollment #1,1,Period,1,20260724T094823_a2f55d,
Enrollment #1,1,Starting At Time (Year),0,20260724T094823_a2f55d,
Enrollment #2,Average Completers,Parameter,Average Completers,20260724T094823_a2f55d,
Enrollment #2,Average Completers,Value,200.68,20260724T094823_a2f55d,
Enrollment #2,Average Pipeline,Parameter,Average Pipeline,20260724T094823_a2f55d,
Enrollment #2,Average Pipeline,Value,1.86,20260724T094823_a2f55d,
Enrollment #2,Distribution,Parameter,Distribution,20260724T094823_a2f55d,
Enrollment #2,Distribution,Value,Uniform,20260724T094823_a2f55d,
Enrollment #2,Total Accrual Duration (Year),Parameter,Total Accrual Duration (Year),20260724T094823_a2f55d,
Enrollment #2,Total Accrual Duration (Year),Value,14.8,20260724T094823_a2f55d,
Overall Simulation Results,%,Lower H0,NA,20260724T094823_a2f55d,
Overall Simulation Results,%,params,%,20260724T094823_a2f55d,
Overall Simulation Results,%,Upper H0,6,20260724T094823_a2f55d,
Overall Simulation Results,No. of Rejections,Lower H0,NA,20260724T094823_a2f55d,
Overall Simulation Results,No. of Rejections,params,No. of Rejections,20260724T094823_a2f55d,
Overall Simulation Results,No. of Rejections,Upper H0,6,20260724T094823_a2f55d,
Plan #1,Control Arm,Parameter,Control Arm,20260724T094823_a2f55d,
Plan #1,Control Arm,Value,Crt Arm,20260724T094823_a2f55d,
Plan #1,Phase,Parameter,Phase,20260724T094823_a2f55d,
Plan #1,Phase,Value,3,20260724T094823_a2f55d,
Plan #1,Study Objective,Parameter,Study Objective,20260724T094823_a2f55d,
Plan #1,Study Objective,Value,Two Arm Confirmatory,20260724T094823_a2f55d,
Plan #1,Target Population,Parameter,Target Population,20260724T094823_a2f55d,
Plan #1,Target Population,Value,Adult,20260724T094823_a2f55d,
Plan #1,Treatment Arm,Parameter,Treatment Arm,20260724T094823_a2f55d,
Plan #1,Treatment Arm,Value,EXP,20260724T094823_a2f55d,
Plan #2,Endpoint Name,Parameter,Endpoint Name,20260724T094823_a2f55d,
Plan #2,Endpoint Name,Value,EP1,20260724T094823_a2f55d,
Plan #2,Endpoint Type,Parameter,Endpoint Type,20260724T094823_a2f55d,
Plan #2,Endpoint Type,Value,Continuous,20260724T094823_a2f55d,
Plan #2,Priority,Parameter,Priority,20260724T094823_a2f55d,
Plan #2,Priority,Value,Primary,20260724T094823_a2f55d,
Simulation Boundaries,Critical Point,Parameter,Critical Point,20260724T094823_a2f55d,
Simulation Boundaries,Critical Point,Value,1.885,20260724T094823_a2f55d,
Simulation Summary #1,Allocation Ratio (nt/nc),Parameter,Allocation Ratio (nt/nc),20260724T094823_a2f55d,
Simulation Summary #1,Allocation Ratio (nt/nc),Value,1.55,20260724T094823_a2f55d,
Simulation Summary #1,Hypothesis,Parameter,Hypothesis,20260724T094823_a2f55d,
Simulation Summary #1,Hypothesis,Value,Superiority,20260724T094823_a2f55d,
Simulation Summary #1,Randomization Method,Parameter,Randomization Method,20260724T094823_a2f55d,
Simulation Summary #1,Randomization Method,Value,Complete Randomization Design,20260724T094823_a2f55d,
Simulation Summary #1,Sample Size (n),Parameter,Sample Size (n),20260724T094823_a2f55d,
Simulation Summary #1,Sample Size (n),Value,222,20260724T094823_a2f55d,
Simulation Summary #1,Test Name,Parameter,Test Name,20260724T094823_a2f55d,
Simulation Summary #1,Test Name,Value,Ratio of Means (Parallel Design),20260724T094823_a2f55d,
Simulation Summary #1,Test Statistic,Parameter,Test Statistic,20260724T094823_a2f55d,
Simulation Summary #1,Test Statistic,Value,t,20260724T094823_a2f55d,
Simulation Summary #1,Test Type,Parameter,Test Type,20260724T094823_a2f55d,
Simulation Summary #1,Test Type,Value,1-Sided,20260724T094823_a2f55d,
Simulation Summary #2,Coefficient of Variation of Data Control,Parameter,Coefficient of Variation of Data Control,20260724T094823_a2f55d,
Simulation Summary #2,Coefficient of Variation of Data Control,Value,0.666,20260724T094823_a2f55d,
Simulation Summary #2,Coefficient of Variation of Data Treatment,Parameter,Coefficient of Variation of Data Treatment,20260724T094823_a2f55d,
