TableName,RowLabel,ColumnName,Value,RunID,ProjectID
Enrollment #1,1,Enrollment Rate (per Week),12.12,20260724T094823_a2f55d,
Enrollment #1,1,Period,1,20260724T094823_a2f55d,
Enrollment #1,1,Starting At Time (Week),0,20260724T094823_a2f55d,
Enrollment #2,Average Completers,Parameter,Average Completers,20260724T094823_a2f55d,
Enrollment #2,Average Completers,Value,179.79,20260724T094823_a2f55d,
Enrollment #2,Average Pipeline,Parameter,Average Pipeline,20260724T094823_a2f55d,
Enrollment #2,Average Pipeline,Value,3.5,20260724T094823_a2f55d,
Enrollment #2,Distribution,Parameter,Distribution,20260724T094823_a2f55d,
Enrollment #2,Distribution,Value,Uniform,20260724T094823_a2f55d,
Enrollment #2,Total Accrual Duration (Week),Parameter,Total Accrual Duration (Week),20260724T094823_a2f55d,
Enrollment #2,Total Accrual Duration (Week),Value,19.389,20260724T094823_a2f55d,
Overall Simulation Results,%,Lower H0,100,20260724T094823_a2f55d,
Overall Simulation Results,%,params,%,20260724T094823_a2f55d,
Overall Simulation Results,%,Upper H0,0,20260724T094823_a2f55d,
Overall Simulation Results,No. of Rejections,Lower H0,100,20260724T094823_a2f55d,
Overall Simulation Results,No. of Rejections,params,No. of Rejections,20260724T094823_a2f55d,
Overall Simulation Results,No. of Rejections,Upper H0,0,20260724T094823_a2f55d,
Plan #1,Control Arm,Parameter,Control Arm,20260724T094823_a2f55d,
Plan #1,Control Arm,Value,Crt Arm,20260724T094823_a2f55d,
Plan #1,Phase,Parameter,Phase,20260724T094823_a2f55d,
Plan #1,Phase,Value,3,20260724T094823_a2f55d,
Plan #1,Study Objective,Parameter,Study Objective,20260724T094823_a2f55d,
Plan #1,Study Objective,Value,Two Arm Confirmatory,20260724T094823_a2f55d,
Plan #1,Target Population,Parameter,Target Population,20260724T094823_a2f55d,
Plan #1,Target Population,Value,Adult,20260724T094823_a2f55d,
Plan #1,Treatment Arm,Parameter,Treatment Arm,20260724T094823_a2f55d,
Plan #1,Treatment Arm,Value,EXP,20260724T094823_a2f55d,
Plan #2,Endpoint Name,Parameter,Endpoint Name,20260724T094823_a2f55d,
Plan #2,Endpoint Name,Value,EP1,20260724T094823_a2f55d,
Plan #2,Endpoint Type,Parameter,Endpoint Type,20260724T094823_a2f55d,
Plan #2,Endpoint Type,Value,Continuous,20260724T094823_a2f55d,
Plan #2,Priority,Parameter,Priority,20260724T094823_a2f55d,
Plan #2,Priority,Value,Primary,20260724T094823_a2f55d,
Simulation Boundaries,Lower Critical Point,Parameter,Lower Critical Point,20260724T094823_a2f55d,
Simulation Boundaries,Lower Critical Point,Value,-2.112,20260724T094823_a2f55d,
Simulation Boundaries,Upper Critical Point,Parameter,Upper Critical Point,20260724T094823_a2f55d,
Simulation Boundaries,Upper Critical Point,Value,2.112,20260724T094823_a2f55d,
Simulation Summary #1,Allocation Ratio (nt/nc),Parameter,Allocation Ratio (nt/nc),20260724T094823_a2f55d,
Simulation Summary #1,Allocation Ratio (nt/nc),Value,1.08,20260724T094823_a2f55d,
Simulation Summary #1,Hypothesis,Parameter,Hypothesis,20260724T094823_a2f55d,
