TableName,RowLabel,ColumnName,Value,RunID,ProjectID
Enrollment #1,1,Enrollment Rate (per Month),12.5,20260724T094823_a2f55d,
Enrollment #1,1,Period,1,20260724T094823_a2f55d,
Enrollment #1,1,Starting At Time (Month),0,20260724T094823_a2f55d,
Enrollment #2,Average Completers,Parameter,Average Completers,20260724T094823_a2f55d,
Enrollment #2,Average Completers,Value,48.32,20260724T094823_a2f55d,
Enrollment #2,Average Pipeline,Parameter,Average Pipeline,20260724T094823_a2f55d,
Enrollment #2,Average Pipeline,Value,1.34,20260724T094823_a2f55d,
Enrollment #2,Distribution,Parameter,Distribution,20260724T094823_a2f55d,
Enrollment #2,Distribution,Value,Uniform,20260724T094823_a2f55d,
Enrollment #2,Total Accrual Duration (Month),Parameter,Total Accrual Duration (Month),20260724T094823_a2f55d,
Enrollment #2,Total Accrual Duration (Month),Value,4.48,20260724T094823_a2f55d,
Overall Simulation Results,%,Lower H0,NA,20260724T094823_a2f55d,
Overall Simulation Results,%,params,%,20260724T094823_a2f55d,
Overall Simulation Results,%,Upper H0,99,20260724T094823_a2f55d,
Overall Simulation Results,No. of Rejections,Lower H0,NA,20260724T094823_a2f55d,
Overall Simulation Results,No. of Rejections,params,No. of Rejections,20260724T094823_a2f55d,
Overall Simulation Results,No. of Rejections,Upper H0,99,20260724T094823_a2f55d,
Plan #1,Control Arm,Parameter,Control Arm,20260724T094823_a2f55d,
Plan #1,Control Arm,Value,Crt Arm,20260724T094823_a2f55d,
Plan #1,Phase,Parameter,Phase,20260724T094823_a2f55d,
Plan #1,Phase,Value,3,20260724T094823_a2f55d,
Plan #1,Study Objective,Parameter,Study Objective,20260724T094823_a2f55d,
Plan #1,Study Objective,Value,Two Arm Confirmatory,20260724T094823_a2f55d,
Plan #1,Target Population,Parameter,Target Population,20260724T094823_a2f55d,
Plan #1,Target Population,Value,Adult,20260724T094823_a2f55d,
Plan #1,Treatment Arm,Parameter,Treatment Arm,20260724T094823_a2f55d,
Plan #1,Treatment Arm,Value,EXP,20260724T094823_a2f55d,
Plan #2,Endpoint Name,Parameter,Endpoint Name,20260724T094823_a2f55d,
Plan #2,Endpoint Name,Value,EP1,20260724T094823_a2f55d,
Plan #2,Endpoint Type,Parameter,Endpoint Type,20260724T094823_a2f55d,
Plan #2,Endpoint Type,Value,Continuous,20260724T094823_a2f55d,
Plan #2,Priority,Parameter,Priority,20260724T094823_a2f55d,
Plan #2,Priority,Value,Primary,20260724T094823_a2f55d,
Simulation Boundaries,Critical Point,Parameter,Critical Point,20260724T094823_a2f55d,
Simulation Boundaries,Critical Point,Value,1.7856,20260724T094823_a2f55d,
Simulation Summary #1,Allocation Ratio (nt/nc),Parameter,Allocation Ratio (nt/nc),20260724T094823_a2f55d,
Simulation Summary #1,Allocation Ratio (nt/nc),Value,1.588,20260724T094823_a2f55d,
