TableName,RowLabel,ColumnName,Value,RunID,ProjectID
Accrual and Study Duration,Accrual Duration (Month),Parameter,Accrual Duration (Month),20260722T175849_7c6c38,
Accrual and Study Duration,Accrual Duration (Month),Value,2.1,20260722T175849_7c6c38,
Accrual and Study Duration,Study Duration (Month),Parameter,Study Duration (Month),20260722T175849_7c6c38,
Accrual and Study Duration,Study Duration (Month),Value,4.6,20260722T175849_7c6c38,
Critical Points,Critical Point,Parameter,Critical Point,20260722T175849_7c6c38,
Critical Points,Critical Point,Value,1.582,20260722T175849_7c6c38,
Design Summary #1,Hypothesis,Parameter,Hypothesis,20260722T175849_7c6c38,
Design Summary #1,Hypothesis,Value,Noninferiority,20260722T175849_7c6c38,
Design Summary #1,Power,Parameter,Power,20260722T175849_7c6c38,
Design Summary #1,Power,Value,0.865,20260722T175849_7c6c38,
Design Summary #1,Sample Size (n),Parameter,Sample Size (n),20260722T175849_7c6c38,
Design Summary #1,Sample Size (n),Value,21,20260722T175849_7c6c38,
Design Summary #1,Test Name,Parameter,Test Name,20260722T175849_7c6c38,
Design Summary #1,Test Name,Value,Ratio of Means (Parallel Design),20260722T175849_7c6c38,
Design Summary #1,Test Type,Parameter,Test Type,20260722T175849_7c6c38,
Design Summary #1,Test Type,Value,1-Sided,20260722T175849_7c6c38,
Design Summary #1,Type 1 Error (α),Parameter,Type 1 Error (α),20260722T175849_7c6c38,
Design Summary #1,Type 1 Error (α),Value,0.0568,20260722T175849_7c6c38,
Design Summary #2,Allocation Ratio (nt/nc),Parameter,Allocation Ratio (nt/nc),20260722T175849_7c6c38,
Design Summary #2,Allocation Ratio (nt/nc),Value,1.321,20260722T175849_7c6c38,
Design Summary #2,Coefficient of Variation of Data,Parameter,Coefficient of Variation of Data,20260722T175849_7c6c38,
Design Summary #2,Coefficient of Variation of Data,Value,0.66,20260722T175849_7c6c38,
Design Summary #2,Follow-up Time (Month),Parameter,Follow-up Time (Month),20260722T175849_7c6c38,
Design Summary #2,Follow-up Time (Month),Value,2.5,20260722T175849_7c6c38,
Design Summary #2,Input Method,Parameter,Input Method,20260722T175849_7c6c38,
Design Summary #2,Input Method,Value,Individual Means,20260722T175849_7c6c38,
Design Summary #2,Mean Control (μc),Parameter,Mean Control (μc),20260722T175849_7c6c38,
Design Summary #2,Mean Control (μc),Value,2.56,20260722T175849_7c6c38,
Design Summary #2,Mean Treatment (μt0),Parameter,Mean Treatment (μt0),20260722T175849_7c6c38,
Design Summary #2,Mean Treatment (μt0),Value,0.99328,20260722T175849_7c6c38,
Design Summary #2,Mean Treatment (μt1),Parameter,Mean Treatment (μt1),20260722T175849_7c6c38,
Design Summary #2,Mean Treatment (μt1),Value,2.0992,20260722T175849_7c6c38,
Design Summary #2,Probability of Dropout,Parameter,Probability of Dropout,20260722T175849_7c6c38,
Design Summary #2,Probability of Dropout,Value,0.11,20260722T175849_7c6c38,
Design Summary #2,Test Statistic,Parameter,Test Statistic,20260722T175849_7c6c38,
Design Summary #2,Test Statistic,Value,Z,20260722T175849_7c6c38,
Design Summary #2,Under H0,Parameter,Under H0,20260722T175849_7c6c38,
Design Summary #2,Under H0,Value,0.388,20260722T175849_7c6c38,
Design Summary #2,Under H1,Parameter,Under H1,20260722T175849_7c6c38,
Design Summary #2,Under H1,Value,0.82,20260722T175849_7c6c38,
Design Summary #2,ρ = μt / μc,Parameter,ρ = μt / μc,20260722T175849_7c6c38,
Design Summary #2,ρ = μt / μc,Value,,20260722T175849_7c6c38,
Design Summary #3,Enrollment Rate (per Month),Parameter,Enrollment Rate (per Month),20260722T175849_7c6c38,
Design Summary #3,Enrollment Rate (per Month),Value,10,20260722T175849_7c6c38,
Plan #1,Control Arm,Parameter,Control Arm,20260722T175849_7c6c38,
Plan #1,Control Arm,Value,Crt Arm,20260722T175849_7c6c38,
Plan #1,Phase,Parameter,Phase,20260722T175849_7c6c38,
Plan #1,Phase,Value,3,20260722T175849_7c6c38,
Plan #1,Study Objective,Parameter,Study Objective,20260722T175849_7c6c38,
Plan #1,Study Objective,Value,Two Arm Confirmatory,20260722T175849_7c6c38,
Plan #1,Target Population,Parameter,Target Population,20260722T175849_7c6c38,
Plan #1,Target Population,Value,Adult,20260722T175849_7c6c38,
Plan #1,Treatment Arm,Parameter,Treatment Arm,20260722T175849_7c6c38,
Plan #1,Treatment Arm,Value,EXP,20260722T175849_7c6c38,
Plan #2,Endpoint Name,Parameter,Endpoint Name,20260722T175849_7c6c38,
Plan #2,Endpoint Name,Value,EP1,20260722T175849_7c6c38,
Plan #2,Endpoint Type,Parameter,Endpoint Type,20260722T175849_7c6c38,
Plan #2,Endpoint Type,Value,Continuous,20260722T175849_7c6c38,
