TableName,RowLabel,ColumnName,Value,RunID,ProjectID
Accrual and Study Duration,Accrual Duration (Week),Parameter,Accrual Duration (Week),20260722T175849_7c6c38,
Accrual and Study Duration,Accrual Duration (Week),Value,24.667,20260722T175849_7c6c38,
Accrual and Study Duration,Study Duration (Week),Parameter,Study Duration (Week),20260722T175849_7c6c38,
Accrual and Study Duration,Study Duration (Week),Value,28.317,20260722T175849_7c6c38,
Critical Points,Lower Critical Point,Parameter,Lower Critical Point,20260722T175849_7c6c38,
Critical Points,Lower Critical Point,Value,-1.859,20260722T175849_7c6c38,
Critical Points,Upper Critical Point,Parameter,Upper Critical Point,20260722T175849_7c6c38,
Critical Points,Upper Critical Point,Value,1.859,20260722T175849_7c6c38,
Design Summary #1,Hypothesis,Parameter,Hypothesis,20260722T175849_7c6c38,
Design Summary #1,Hypothesis,Value,Superiority,20260722T175849_7c6c38,
Design Summary #1,Power,Parameter,Power,20260722T175849_7c6c38,
Design Summary #1,Power,Value,0.31,20260722T175849_7c6c38,
Design Summary #1,Sample Size (n),Parameter,Sample Size (n),20260722T175849_7c6c38,
Design Summary #1,Sample Size (n),Value,222,20260722T175849_7c6c38,
Design Summary #1,Test Name,Parameter,Test Name,20260722T175849_7c6c38,
Design Summary #1,Test Name,Value,Ratio of Means (Parallel Design),20260722T175849_7c6c38,
Design Summary #1,Test Type,Parameter,Test Type,20260722T175849_7c6c38,
Design Summary #1,Test Type,Value,2-Sided,20260722T175849_7c6c38,
Design Summary #1,Type 1 Error (α),Parameter,Type 1 Error (α),20260722T175849_7c6c38,
Design Summary #1,Type 1 Error (α),Value,0.0645,20260722T175849_7c6c38,
Design Summary #2,Allocation Ratio (nt/nc),Parameter,Allocation Ratio (nt/nc),20260722T175849_7c6c38,
Design Summary #2,Allocation Ratio (nt/nc),Value,1.55,20260722T175849_7c6c38,
Design Summary #2,Coefficient of Variation of Data,Parameter,Coefficient of Variation of Data,20260722T175849_7c6c38,
Design Summary #2,Coefficient of Variation of Data,Value,0.652,20260722T175849_7c6c38,
Design Summary #2,Follow-up Time (Week),Parameter,Follow-up Time (Week),20260722T175849_7c6c38,
Design Summary #2,Follow-up Time (Week),Value,3.65,20260722T175849_7c6c38,
Design Summary #2,Input Method,Parameter,Input Method,20260722T175849_7c6c38,
Design Summary #2,Input Method,Value,Ratio of Means,20260722T175849_7c6c38,
Design Summary #2,Probability of Dropout,Parameter,Probability of Dropout,20260722T175849_7c6c38,
Design Summary #2,Probability of Dropout,Value,0.123,20260722T175849_7c6c38,
Design Summary #2,Test Statistic,Parameter,Test Statistic,20260722T175849_7c6c38,
Design Summary #2,Test Statistic,Value,t,20260722T175849_7c6c38,
