TC_ID,IterationID,PeriodIndex,startingAtTime,avgSubjectsEnrolled
TC_21,ITER_01,0,N/A,14
TC_21,ITER_01,1,2.2,16.8
TC_21,ITER_02,0,N/A,10
TC_21,ITER_02,1,1.1,15
TC_21,ITER_02,2,2.1,20
TC_21,ITER_02,3,3.1,16
TC_21,ITER_02,4,4.1,12
TC_21,ITER_03,0,N/A,18
TC_21,ITER_03,1,0.5,19
TC_21,ITER_03,2,1.5,20
TC_21,ITER_04,0,N/A,10.63
TC_21,ITER_04,1,0.8,7
TC_21,ITER_05,0,N/A,10.95
TC_21,ITER_05,1,1.11,11.111555
TC_21,ITER_05,2,2.22,15.6256
TC_21,ITER_05,3,3.33,14.8523
TC_21,ITER_05,4,4.44,18.777
TC_21,ITER_05,5,5.55,18.6582
TC_21,ITER_05,6,6.66,20.3215
TC_21,ITER_06,0,N/A,20.31
TC_21,ITER_07,0,N/A,8
TC_21,ITER_07,1,0.1,7
TC_21,ITER_07,2,0.2,6
TC_21,ITER_08,0,N/A,22.222
